login,name,location,created_at,followers,repositories,score
Blankj,Blankj,中国,,4759,44,46730.99999999999
hansonwang99,CodeSheep 程序羊,中国,,4736,51,12012.990000000002
smallnest,smallnest,中国,,4703,230,24203.469999999983
madeye,Max Lv,中国,,4685,46,11351.400000000001
hax,HE Shi-Jun,中国,,4654,197,8506.179999999998
azl397985856,lucifer,中国,,4620,148,51952.630000000034
oschina,开源中国,中国,,4612,25,5763.84
barretlee,Barret李靖,中国,,4605,87,9950.43
YunYouJun,云游君,中国,,4569,228,37275.039999999986
pissang,Yi Shen,中国,,4567,113,11606.010000000002
lenve,江南一点雨,中国,,4559,90,39476.4
