login,name,location,created_at,followers,repositories
Trinea,Trinea,HangZhou,N/A,17004,24
justjavac,迷渡,"Tianjin, China",N/A,16931,381
clowwindy,clowwindy,,N/A,16911,53
trekhleb,Oleksii Trekhleb,Amsterdam,N/A,16849,22
kenjinote,kenji,Japan,N/A,16767,604
esin,Andrey Esin,,N/A,16678,49
JeffreyWay,Jeffrey Way,"Winter Park, FL",N/A,16609,165
fchollet,François Chollet,,N/A,16543,27
codingforentrepreneurs,Coding For Entrepreneurs,"Boise, Idaho",N/A,16381,206
jlord,Jessica Lord,"London, England",N/A,16355,198
peter-kimanzi,Peter Kimanzi,Nairobi,N/A,16284,116
iam-veeramalla,Abhishek Veeramalla,"Hyderabad, India",N/A,16279,63
maykbrito,Mayk Brito,Brazil,N/A,16032,173
sandhikagalih,Sandhika Galih,Indonesia,N/A,15902,94
stormzhang,stormzhang,"Shanghai, China",N/A,15879,5
lifesinger,lifesinger,"Hangzhou, China",N/A,15869,3
LeaVerou,Lea Verou,"Cambridge, MA",N/A,15665,136
jackfrued,骆昊,"Chengdu Sichuan, China",N/A,15627,125
Ovilia,Wenli Zhang,"Shanghai, China",N/A,15567,79
octocat,The Octocat,San Francisco,N/A,15563,203
onevcat,Wei Wang,"Yokohama, Japan / China",N/A,15448,216
chiphuyen,Chip Huyen,San Francisco,N/A,15331,36
spf13,Steve Francia,NYC,N/A,15318,113
johnpapa,John Papa,"Orlando, FL",N/A,15315,198
AUTOMATIC1111,,,N/A,15277,41
ggerganov,Georgi Gerganov,"Sofia, Bulgaria",N/A,15249,75
josevalim,José Valim,"Kraków, Poland",N/A,15213,64
isaacs,isaacs,Oakland CA,N/A,15169,507
astaxie,astaxie,"Shanghai, China",N/A,14997,81
rauchg,Guillermo Rauch,SF,N/A,14939,181
kubowania,Ania Kubow,,N/A,14864,127
wesm,Wes McKinney,"Nashville, TN",N/A,14758,147
RubyLouvre,司徒正美,China,N/A,14737,131
Kwynto,Constantine Zavezeon,Russia,N/A,14708,19
ageron,Aurélien Geron,Auckland,N/A,14706,86
gopinav,Vishwas,India,N/A,14683,70
PremChapagain,Prem Chapagain,kathmandu,N/A,14636,1
lllyasviel,,,N/A,14609,53
CyC2018,,"Guangzhou, China",N/A,14577,7
taniarascia,Tania Rascia,,N/A,14553,51
feross,Feross Aboukhadijeh,"Stanford, CA",N/A,14405,221
sorrycc,chencheng (云谦),"HangZhou, China",N/A,14390,253
in28minutes,,"Hyderabad, India",N/A,14373,104
goodfeli,Ian Goodfellow,Mountain View,N/A,14310,24
ahejlsberg,Anders Hejlsberg,"Redmond, WA, USA",N/A,14302,7
unknwon,Joe Chen,,N/A,14288,53
mitchellh,Mitchell Hashimoto,"Los Angeles, CA",N/A,14236,128
acdlite,Andrew Clark,New York,N/A,14235,87
florinpop17,Florin Pop,Romania,N/A,14233,101
DIYgod,DIYgod,Singapore,N/A,14200,95
AlexTheAnalyst,Alex The Analyst,,N/A,14121,13
yinwang0,Yin Wang,,N/A,13820,20
schacon,Scott Chacon,"Berlin, Germany",N/A,13757,241
unclebob,Robert C. Martin,"Gurnee, IL",N/A,13729,76
bailicangdu,cangdu,"Shanghai, China",N/A,13694,23
lydiahallie,Lydia Hallie,,N/A,13458,63
Code-Bullet,Code Bullet,,N/A,13432,25
cassidoo,Cassidy Williams,"Chicago, IL",N/A,13385,188
ForrestKnight,Forrest Knight,"Virginia Beach, VA",N/A,13291,31
fengdu78,Huang Haiguang,"Qingdao,China",N/A,13256,17
jashkenas,Jeremy Ashkenas,Berkeley,N/A,13244,26
fabpot,Fabien Potencier,"Paris, France",N/A,13244,90
brianyu28,Brian Yu,"Boston, MA",N/A,13204,47
Klerith,Fernando Herrera,Costa Rica,N/A,13203,525
breakwa11,破娃酱,"喵嗷污, China",N/A,13201,8
jessfraz,Jess Frazelle,PID 1,N/A,13196,196
anuraghazra,Anurag Hazra,"India, West Bengal",N/A,13130,139
PanJiaChen,花裤衩,"Shanghai, China",N/A,13081,73
draveness,Draven,"Beijing, China",N/A,13012,90
hongyangAndroid,张鸿洋,"Beijing,China",N/A,12988,102
eust-w,longtao,Sol III,N/A,12886,112
atilsamancioglu,Atıl Samancıoğlu,,N/A,12842,523
davidfowl,David Fowler,"Bellevue, WA",N/A,12808,312
OracleBrain,Aashis Jha,"Kathmandu, Nepal ",N/A,12806,37
mosh-hamedani,Mosh Hamedani,"Melbourne, Australia",N/A,12786,31
KaimingHe,Kaiming He,,N/A,12751,10
angusshire,Angus H.,"Berkeley, CA",N/A,12748,19
abuanwar072,Abu Anwar,"Dhaka, Bangladesh",N/A,12735,79
leerob,Lee Robinson,"Des Moines, IA",N/A,12689,89
CoreyMSchafer,Corey Schafer,United States,N/A,12660,5
haoel,Hao Chen,Beijing,N/A,12629,29
developit,Jason Miller,"Hamilton, Ontario, Canada",N/A,12594,404
BYVoid,Carbo Kuo,New York,N/A,12585,48
evanw,Evan Wallace,San Francisco,N/A,12526,129
miguelgrinberg,Miguel Grinberg,Ireland,N/A,12493,203
btholt,Brian Holt,MSP 🔜 SNA 🔜 SLC 🔜 SMF,N/A,12488,167
mattn,mattn,"Osaka, Japan",N/A,12445,2096
hakimel,Hakim El Hattab,Sweden,N/A,12433,32
vbuterin,,,N/A,12366,69
matheusbattisti,Matheus Battisti - Hora de Codar,"Floripa, Brasil",N/A,12334,150
egoist,EGOIST,China,N/A,12315,847
mathiasbynens,Mathias Bynens,,N/A,12284,682
laruence,Xinchen Hui,,N/A,12266,29
soumith,Soumith Chintala,"New York, USA",N/A,12200,212
ibireme,,,N/A,12189,23
rakyll,Jaana Dogan,"San Francisco, CA",N/A,12189,232
Charles-Chrismann,Charles Chrismann,"Paris, La Défense",N/A,12146,53
bradfitz,Brad Fitzpatrick,Seattle,N/A,12109,166
tomnomnom,Tom Hudson,"Yorkshire, UK",N/A,12101,101
acenelio,Nelio Alves,Brazil,N/A,12087,290
iconfont-cn,,,N/A,11993,0
kevin-powell,Kevin Powell,,N/A,11908,103
adamwathan,Adam Wathan,"Ontario, Canada",N/A,11897,187
KalleHallden,kalle hallden,,N/A,11755,55
YunaiV,芋道源码,"Shanghai, China",N/A,11718,86
nicknochnack,Nicholas Renotte,"Sydney, Australia",N/A,11706,194
jonhoo,Jon Gjengset,"Oslo, Norway",N/A,11696,266
agentzh,Yichun Zhang,San Francisco Bay Area,N/A,11673,91
tqchen,Tianqi Chen,,N/A,11667,60
tannerlinsley,Tanner Linsley,Utah,N/A,11662,159
philipplackner,Philipp Lackner,Germany,N/A,11519,304
LukeSmithxyz,Luke Smith,,N/A,11475,30
bedimcode,Marlon,Perú,N/A,11451,140
dsacademybr,Data Science Academy,Brasil,N/A,11331,4
iampawan,Pawan Kumar,"Faridabad, India",N/A,11329,248
skydoves,Jaewoong Eum,"Seoul, South Korea",N/A,11321,101
shanselman,Scott Hanselman,"Portland, OR",N/A,11315,240
mqyqingfeng,冴羽,"Hangzhou, China",N/A,11310,33
fouber,张云龙,China,N/A,11272,182
yangshun,Yangshun Tay,Singapore,N/A,11244,138
TheCherno,Yan Chernikov,"Melbourne, Australia",N/A,11240,41
muan,Mu-An Chiou,Taipei,N/A,11232,180
bvaughn,Brian Vaughn,"Brooklyn, NY",N/A,11179,183
jakearchibald,Jake Archibald,,N/A,11163,256
JohnHammond,John Hammond,,N/A,11159,78
shadcn,shadcn,,N/A,11065,231
samyk,samy kamkar,los angeles,N/A,11020,185
necolas,Nicolas Gallagher,"San Francisco, CA",N/A,11015,82
QianMo,浅墨（毛星云）,"Shenzhen, China",N/A,11012,37
zenorocha,Zeno Rocha,"San Francisco, California",N/A,10974,188
bot50,CS50 Bot,"Cambridge, Massachusetts, USA",N/A,10958,31
jrohitofficial,Rohit Jha,"Kathmandu, Nepal",N/A,10955,58
robpike,Rob Pike,,N/A,10937,25
chriscoyier,Chris Coyier,"Bend, Oregon",N/A,10853,78
craftzdog,Takuya Matsuyama,"Osaka, Japan",N/A,10823,165
htr-tech,Tahmid Rayat,"Dhaka, Bangladesh",N/A,10769,35
offensive-security,Offsec,,N/A,10740,29
amueller,Andreas Mueller,Los Gatos,N/A,10731,217
gitdagray,Dave Gray,"Lawrence, Kansas",N/A,10651,176
engindemirog,Engin Demirog,Ankara,N/A,10628,56
chenshuo,Shuo Chen,California,N/A,10623,56
mnielsen,Michael Nielsen,"San Francisco, California",N/A,10616,37
Elfocrash,Nick Chapsas,"London, UK",N/A,10602,51
miloyip,Milo Yip,"Hong Kong, China",N/A,10589,32
romannurik,Roman Nurik,"New York, NY",N/A,10554,65
eugenp,Eugen,"Bucharest, Romania",N/A,10549,14
t3dotgg,Theo Browne,"San Francisco, CA",N/A,10527,125
2dust,,,N/A,10526,12
sofish,小鱼,Shanghai China,N/A,10485,42
professorguanabara,Gustavo Guanabara,"Rio de Janeiro, Brazil",N/A,10458,6
Snailclimb,Guide,"Wuhan, Hubei",N/A,10440,24
akitaonrails,Fabio Akita,Brazil,N/A,10421,131
nzakas,Nicholas C. Zakas,"Mountain View, CA",N/A,10414,78
bojone,苏剑林(Jianlin Su),,N/A,10414,107
ghost,Deleted user,"Nothing to see here, move along.",N/A,10380,8
ChrisTitusTech,Chris Titus,"Dallas, TX",N/A,10300,58
lattner,Chris Lattner,"Bay Area, California, USA",N/A,10288,17
aneagoie,Andrei Neagoie,"Toronto, Canada",N/A,10281,157
jhaddix,Jason Haddix,United States,N/A,10246,72
danielmiessler,Daniel Miessler,SF Bay Area,N/A,10239,73
BurntSushi,Andrew Gallant,"Marlborough, MA",N/A,10230,190
wycats,Yehuda Katz,"Portland, OR",N/A,10228,397
benbalter,Ben Balter,"Washington, DC",N/A,10228,258
rsc,Russ Cox,"Cambridge, MA",N/A,10120,157
ErickWendel,Erick Wendel,São Paulo - Brazil,N/A,10120,317
romainguy,Romain Guy,California,N/A,10095,21
jart,Justine Tunney,,N/A,10080,235
george0st,jist,"Europe, Czech Republic, Prague",N/A,10079,24
Pierian-Data,Pierian Data,,N/A,10063,32
sophiebits,Sophie Alpert,"San Francisco, CA",N/A,10057,185
jvns,Julia Evans,,N/A,10003,187
alex,Alex Gaynor,Washington D.C.,N/A,9960,497
Sentdex,Harrison,Texas,N/A,9932,47
munificent,Bob Nystrom,"Seattle, WA",N/A,9931,53
tjdevries,TJ DeVries,,N/A,9913,183
easychen,Easy,"Chongqing, China",N/A,9907,225
shiftkey,Brendan Forster,Canada,N/A,9898,199
mgechev,Minko Gechev,California,N/A,9888,404
matz,"Yukihiro ""Matz"" Matsumoto","Matsue, Japan",N/A,9833,15
AllenDowney,Allen Downey,"Needham, MA, USA",N/A,9814,369
CoderMJLee,M了个J,"Guangzhou, China",N/A,9805,16
mustafacagri,Mustafa Çağrı Güven,İstanbul / ✈️ 🌎,N/A,9790,41
mcollina,Matteo Collina,"Forlì, Italy",N/A,9756,737
topjohnwu,John Wu,US / Taiwan,N/A,9744,55
toddmotto,Todd Motto,"England, UK",N/A,9685,103
PatrickAlphaC,Patrick Collins,Boston,N/A,9674,291
typicode,,,N/A,9639,78
ustbhuangyi,HuangYi,"HeFei,China",N/A,9631,79
wizardforcel,布客飞龙,"Beijing, China",N/A,9612,772
noob-hackers,N17R0,india,N/A,9607,24
pjreddie,Joseph Redmon,,N/A,9597,49
knadh,Kailash Nadh,Bengaluru,N/A,9581,83
ryanflorence,Ryan Florence,Utah,N/A,9567,297
listen1,Listen 1,,N/A,9521,9
bchiang7,Brittany Chiang,,N/A,9502,65
yihui,Yihui Xie,"Omaha, NE",N/A,9473,141
dennybritz,Denny Britz,"Tokyo, Japan",N/A,9471,68
jaredpalmer,Jared Palmer,"New York, NY",N/A,9459,216
