login,name,location_original,created_at,followers,repositories,location_country
mitsuhiko,Armin Ronacher,Austria,,21761,315,奥地利
NeuralNine,NeuralNine,"Vienna, Austria",,8829,15,奥地利
mikepenz,Mike Penz,"Linz, Austria",,5557,101,奥地利
KrauseFx,Felix Krause,"Vienna, Austria",,5511,169,奥地利
alanhamlett,Alan Hamlett,"Vienna, Austria ",,5054,119,奥地利
steipete,Peter Steinberger,"Vienna, Austria",,4556,79,奥地利
