login,name,location_original,created_at,followers,repositories,location_country,score
fenixsoft,IcyFenix,"China, Shenzhen ⇄ Zhuhai",,5507,19,中国,15256.1
yanhaijing,颜海镜,"Beijing,China",,5502,105,中国,10900.9
tw93,Tw93,"HangZhou, China",,5408,30,中国,42703.180000000015
jinzhu,Jinzhu,HangZhou China,,5375,111,中国,46278.73000000004
alsotang,alsotang,"ShenZhen, China",,5228,214,中国,21234.459999999985
wx-chevalier,王下邀月熊,Shanghai,,5220,157,中国,19507.800000000003
HcySunYang,Chunyang Huo,"Beijing, China",,5194,121,中国,12907.260000000006
Yidadaa,Yifei Zhang,China,,5157,61,中国,66883.77
krahets,Yudong Jin,Shanghai,,5136,11,中国,88742.7
huangzworks,宏图书社 | 黄健宏,China,,5120,48,中国,21092.230000000003
julycoding,July,"Beijing, China",,5109,7,中国,22617.54
roboticcam,Prof Richard Xu                 徐亦达教授,Hong Kong,,5017,13,中国,11999.600000000002
jindongwang,Jindong Wang,"Beijing, China",,5016,68,中国,25862.5
huacnlee,Jason Lee,"Chengdu, China",,4955,194,中国,42162.00000000003
rfyiamcool,fengyun.rui,China / BeiJing,,4951,328,中国,14937.199999999995
tshemsedinov,Timur Shemsedinov,"Earth, Europe, Ukraine, Kiev, Kyiv, USA, Spain, Germany, Italy, China",,4930,234,中国,6953.809999999999
teddysun,Teddysun,Shanghai,,4909,8,中国,18467.0
wepe,wepon,China Hangzhou,,4900,28,中国,11966.39
hellokaton,見える,"ShangHai, China",,4877,96,中国,19909.37
chai2010,chai2010,"Hangzhou, China",,4852,294,中国,35961.59999999999
ming1016,戴铭,北京,,4849,21,中国,14465.0
atian25,TZ | 天猪,"GuangZhou, China",,4832,124,中国,26227.469999999983
yegor256,Yegor Bugayenko,China,,4815,204,中国,11924.53
Dreamacro,Dreamacro,"Amoy, China",,4814,25,中国,6251.72
Blankj,Blankj,Hangzhou,,4759,44,中国,46730.99999999999
hansonwang99,CodeSheep 程序羊,江苏 · 南京,,4736,51,中国,12012.990000000002
smallnest,smallnest,China,,4703,230,中国,24203.469999999983
madeye,Max Lv,"Shanghai, China",,4685,46,中国,11351.4
hax,HE Shi-Jun,"Shanghai, China",,4654,197,中国,8506.179999999998
azl397985856,lucifer,China,,4620,148,中国,51952.630000000034
oschina,开源中国,SZ China,,4612,25,中国,5763.84
barretlee,Barret李靖,"Hangzhou,China",,4605,87,中国,9950.43
YunYouJun,云游君,"Guangzhou, China",,4569,228,中国,37275.03999999999
pissang,Yi Shen,"Shanghai, China",,4567,113,中国,11606.010000000002
lenve,江南一点雨,China GuangZhou,,4559,90,中国,39476.4
