login,name,location_original,created_at,followers,repositories,location_country
taylorotwell,Taylor Otwell,"Little Rock, AR",,32631,54,阿根廷
bevacqua,Nicolás Bevacqua,"Buenos Aires, Argentina",,4796,296,阿根廷
