login,name,location_original,created_at,followers,repositories,location_country
metatimeofficial,Metatime,"İstanbul, Turkey",,18212,2,土耳其
engindemirog,Engin Demirog,Ankara,,10628,56,土耳其
mustafacagri,Mustafa Çağrı Güven,İstanbul / ✈️ 🌎,,9790,41,土耳其
f,Fatih Kadir Akın,"Istanbul, Turkey",,8908,258,土耳其
fatih,Fatih Arslan,"Ankara, TR",,8476,65,土耳其
mustafamuratcoskun,Mustafa Murat Coşkun,Ankara,,6928,34,土耳其
seniorvuejsdeveloper,Senior Vue.js Developer,Istanbul,,6212,7,土耳其
sadikturan,Sadık Turan,turkey,,5896,24,土耳其
hakanyalcinkaya,Hakan Yalcinkaya,Istanbul,,4604,14,土耳其
