login,name,location_original,created_at,followers,repositories,location_country
tannerlinsley,Tanner Linsley,Utah,,11662,159,美国（犹他州）
ryanflorence,Ryan Florence,Utah,,9567,297,美国（犹他州）
tylermcginnis,Tyler McGinnis,"St. George, Utah",,5002,160,美国（犹他州）
