login,name,location_original,created_at,followers,repositories,location_country
skydoves,Jaewoong Eum,"Seoul, South Korea",,11321,101,韩国
carpedm20,Taehoon Kim,"Seoul, Korea",,8817,210,韩国
jojoldu,DongUk Lee,Seoul,,6514,227,韩国
