login,name,location_original,created_at,followers,repositories,location_country
trekhleb,Oleksii Trekhleb,Amsterdam,,16849,22,荷兰
lucasmontano,Lucas Montano,"Amsterdam, The Netherlands",,8401,38,荷兰
barryvdh,Barry vd. Heuvel,"Noord-Brabant, the Netherlands",,6547,314,荷兰
timneutkens,Tim Neutkens,The Netherlands,,5503,278,荷兰
mislav,Mislav Marohnić,The Netherlands,,4791,225,荷兰
