login,name,location_original,created_at,followers,repositories,location_country
JohnMwendwa,John Mwendwa,"Nairobi, Kenya",,22062,113,肯尼亚
peter-kimanzi,Peter Kimanzi,Nairobi,,16284,116,肯尼亚
dirambora,Diram,"Nairobi,Kenya",,4789,33,肯尼亚
