login,name,location_original,created_at,followers,repositories,location_country
ggerganov,Georgi Gerganov,"Sofia, Bulgaria",,15249,75,保加利亚
ip681,Ivo Petkov,"Sofia, Bulgaria",,7271,17,保加利亚
bbatsov,Bozhidar Batsov,Bulgaria,,4636,155,保加利亚
