login,name,location_original,created_at,followers,repositories,location_country
mourner,Volodymyr Agafonkin,"Kyiv, Ukraine",,5755,119,乌克兰
NARKOZ,Nihad Abbasov,"Kyiv, Ukraine",,5200,95,乌克兰
luxplanjay,Alexander Repeta,Ukraine,,4844,113,乌克兰
