login,name,location_original,created_at,followers,repositories,location_country
midudev,Miguel Ángel Durán,Barcelona,,28322,199,西班牙
mouredev,Brais Moure,Building software with  ♥ from Galicia (Spain) to the world.,,25384,47,西班牙
ai,Andrey Sitnik,"Barcelona, Spain",,9161,132,西班牙
JCSIVO,JCSIVO,"España, Spain",,6897,29,西班牙
antoniolg,Antonio Leiva,Madrid (Spain),,5385,81,西班牙
s4vitar,,Tenerife,,4939,13,西班牙
