login,name,location_original,created_at,followers,repositories,location_country
hakimel,Hakim El Hattab,Sweden,,12433,32,瑞典
emmabostian,Emma Bostian,"Stockholm, Sweden",,6475,69,瑞典
bagder,Daniel Stenberg,"the curl factory, Sweden - close to Nebraska",,6345,58,瑞典
emilk,Emil Ernerfeldt,"Stockholm, Sweden",,6268,77,瑞典
mpj,Mattias Petter Johansson,"Stockholm, Sweden",,5710,147,瑞典
hrydgard,Henrik Rydgård,"Stockholm, Sweden",,5551,64,瑞典
eriklindernoren,Erik Linder-Norén,"Stockholm, Sweden",,5346,28,瑞典
