login,name,location_original,created_at,followers,repositories,location_country
IDouble,Alp ₿📈🚀🌕,"Zurich, Switzerland",,33185,61,瑞士
wcandillon,William Candillon,Zürich,,8056,179,瑞士
mafintosh,Mathias Buus,Switzerland,,6105,1130,瑞士
TheOfficialFloW,Andy Nguyen,Zurich,,4601,47,瑞士
Seldaek,Jordi Boggiano,"Zürich, Zurich, Switzerland",,4564,273,瑞士
